,0
507,"Автор жалуется на то, что персонал не встречает гостей у входа и игнорирует их просьбы о помощи в ожидании заказа. Он также выражает недовольство задержкой с принятием заказа и отказом предоставить терминал для безналичной оплаты."
508,"Автор жалуется на то, что девушка-бариста в кофейне является редкостной хамкой. Она не здоровается и не отвечает на вопросы клиентов, а также не предоставляет информацию о наличии горячих напитков и ценах на них."
509,"Автор жалуется на то, что он не смог купить кофе в ларьке по адресу Санкт-Петербург, Пятилеток, 28, так как он был закрыт. Он также выражает свое недоумение по поводу отсутствия номера телефона или таблички с временем, когда вернется сотрудник, чтобы люди зря не ждали. Судя по другим отзывам об этой точке, такая ситуация там постоянно. Автор предлагает сменить персонал или научить его грамотно отлучаться."
510,"Автор жалуется на то, что ему отказали в просьбе сделать кондиционер чуть теплее."
511,"Автор жалуется на неорганизованный процесс за стойкой и хамское поведение официантов и баристов. Он также отмечает, что в единственном месте, где ему нравится кофе, такое отношение к посетителям."
512,"Автор жалуется на то, что на столе стоят платные детские планшеты и на это никто не обратил внимание."
513,"Автор жалуется на холодный кофе, магазинную выпечку и мокрый хлеб в сэндвичах."
514,"Автор жалуется на то, что ему пришлось ждать официанта 30 минут, чтобы принять заказ, а также на длительное ожидание в целом."
515,"Автор жалуется на плохое обслуживание и отсутствие некоторых позиций в меню. Он также отмечает, что некоторые блюда были хороши."
516,Автор жалуется на качество кофе и десертов в кофейне.
517,"Автор жалуется на качество десертов в данном магазине, а именно на то, что он не может быть уверен в свежести продуктов и их вкусе. Он также выражает свое разочарование и больше не будет покупать десерты в этом магазине."
518,"Автор жалуется на то, что в кафе, которое работает с 10.00, дверь открыта, но в зале темно и лежит женщина. Персонал постоянно опаздывает."
519,"Автор жалуется на отвратительное обслуживание, путаницу в заказах и несъедобные вафли. Он не рекомендует это место для посещения."
520,"Автор жалуется на то, что ему не понравилось обслуживание в кафе ""Ташир"". Он описывает, как ему принесли холодный кофе в одноразовом стакане и заставили стоять в очереди к кассе, чтобы оплатить счет. Автор также выражает свое мнение о качестве мебели и интерьеров кафе."
521,"Автор жалуется на несъедобные соленья, жёсткое тесто пельменей и невкусную намазку из сельди, а также на грязные полы на веранде."
522,"Автор жалуется на то, что PekeF оставил негативный отзыв о заведении, из-за чего у людей портится весь рейтинг. Автор не понимает, зачем автор оставил столь несправедливый отзыв, так как все возвращается бумерангом."
523,"Автор жалуется на то, что ему не понравилось блюдо, которое он заказал в ресторане - рис с морепродуктами в кокосовом молоке и с копченой паприкой. По его мнению, блюдо оказалось приторно сладким и безвкусным, а штрудель - сухим. Он не рекомендует это место для посещения."
524,"После смены коллектива, кофе уже не тот. Бариста готовят долго и не всегда ведут себя компетентно с гостем"
525,"Автор жалуется на то, что ему не пробили латте при заказе маленького капучино и унесли чек об оплате с номером для получения кофе."
526,"Автор жалуется на грязную посуду, липкие столы и грязные приборы в ресторане."
527,"Автор жалуется на то, что в этом месте нет вкусного кофе и крыши, с которой можно обозревать набережную."
528,Сегодня мы час ждали обед и единственное что мы дождались это лимонад. Пришлось отказываться от заказа так как уже просто опаздывали на самолет. За час не принести даже закуски это конечно что-то
529,"Автор жалуется на то, что в кафе, где он покупает кофе перед работой, иногда перегревают кофе и не всегда бывает густая пенка."
530,"Автор жалуется на качество продукции в пекарне. Он утверждает, что купленные им профитроли и чизкейк не соответствовали рецептуре и были невкусными."
531,"Автор жалуется на ухудшение качества выпечки в кафе ""Прага"". Он отмечает, что торты и пирожные перестали брать, так как они засохшие, крема минимум, а сверху вместо шоколада какая-то коричневая жидкая субстанция. Автор выражает сожаление по поводу изменения качества с течением времени."
532,"Автор жалуется на то, что в ресторане грязно, столы пыльные, персонал ленивый и неприветливый."
533,"Автор жалуется на то, что в этой кофейне не умеют готовить кофе, а интерьер здесь просто шик."
534,"Автор жалуется на то, что девушка-бариста в кофейне ""Молоко"" была надменной и с недовольным лицом. Она перечеркнула положительные эмоции от посещения этого места."
535,"Автор жалуется на то, что ему и его друзьям принесли блюда в интервалах 15-20 минут, при этом еда была холодной и несъедобной. Он также выражает свое разочарование в отношении правил ресторанного этикета, согласно которым блюда всем гостям должны подаваться одновременно."
536,"Автор жалуется на отсутствие парковки, отсутствие официантов и платную игровую детскую услугу. Он также отмечает, что еда не соответствует ожиданиям и меню не содержит информации о количестве порций и их стоимости."
537,"Половина ушла в помойку. Это ""шаурма"" занимает первое место среди самых отвратительных которые приходилось пробовать."
538,"Автор жалуется на то, что пиво в пабе Asterie Blanche оказалось газированной водой, а принесенный шпатен - разбавленным. Официантка не предложила заменить пиво и предложила еще по бокалу этой бурды. Еда была на 3+, но картофель с курдюком оказался очень маленьким и невкусным. Автор больше не будет посещать это заведение."
539,"Автор жалуется на организацию в Шоколаднице, а именно на длительное ожидание заказа, завышенные цены и малое количество официантов на всю кофейню."
540,"Автор жалуется на шум и потерю аутентичности в торговом центре, а также на то, что продавец не знает ничего примечательного про потругалию и историю пирожных."
541,"Автор жалуется на то, что в данном заведении плохо готовят."
542,"Автор жалуется на плохое обслуживание, плохое качество еды и напитков, а также на дороговизну."
543,"Автор жалуется на несъедобные листья салата и размороженную рыбу в паштете на картофельных оладьях, а также на неправильную подачу воды к кофе."
544,Автор жалуется на качество еды в ресторане.
545,"Автор жалуется на отравление после употребления салата с крабовыми палочками, что привело к сильному повышению температуры и необходимости оформления больничного листа."
546,"Автор жалуется на то, что заказ принесли оооочень долго. Подача, как «у тети Люды» за МКАДом с претензией на «модность». Заказ пытались быстро позавтракать, за полтора часа принесли два с половиной блюда. В общем, максимально не советую."
547,"Автор жалуется на то, что ему не удалось заказать какао без сахара и на альтернативном молоке. Он также обвиняет молодого человека в том что он нагло врет в глаза и говорит это молоко такое сладкое."
548,"Автор жалуется на внешний вид меню, которое пора напечатать заново, на несоблюдение санитарных норм и правил персоналом, а также на отсутствие кондиционера и грязную посуду при подаче напитков."
549,"Автор жалуется на качество кофе, который он купил у молодого человека."
550,"Автор жалуется на ограниченное количество блюд на бранче в воскресенье и на то, что блюдо, которое было возвращено, не было включено в счет."
551,"Автор жалуется на то, что его ожидания и реальность не совпали. Он описывает, как его заказ ждали целый час, при том что время было дообеденное, и как ему принесли не самые вкусные блюда при довольно высоком среднем чеке."
552,Автор жалуется на низкое качество пиццы.
553,"Автор жалуется на то, что ему отказали в доступе к стойке с мороженым и попросили покинуть заведение, несмотря на его вежливость и отсутствие претензий к напиткам."
554,"Автор жалуется на то, что обслуживание в ресторане оставляет желать лучшего. Он описывает, как молодой человек за барной стойкой открыл ему веранду, хотя она была закрыта на ключ. Официант, который ходил в зале, не поздоровался с ним и не подошел к нему. В итоге автор провел на веранде 23 минуты и ушел разочарованным."
555,Не стоит тратить свое время и тем более деньги. Плюсов не нашел. Рядом есть места и по интереснее
556,"Автор жалуется на обман со стороны сотрудников кофейни Stars Coffee Афимолл. Он утверждает, что сайт предложил скидку на Фраппе, но продавцы сообщили ему о недействительности акции, хотя на скриншоте видно обратное. Автор хочет, чтобы другие знали об этом и не посещали данную кофейню."
557,"Автор жалуется на задержку заказа и принесенное в качестве извинения печенье. Он также отмечает, что еда и кофе были вкусными, но настроение было испорчено из-за непрофессионализма персонала."
558,Автор жалуется на отсутствие круасанов в кафе.
559,"Автор жалуется на ужасный салат, который он заказал в Шоколаднице. Он считает, что лимонад и котлеты вкусные, но салат испортил все впечатление."
560,"Автор жалуется на то, что качество еды не всегда соответствует низкому ценнику в данном месте. Он описывает конкретный пример - бургер с рваной говядиной и Павлову, которые были не свежими и не соответствовали заявленному качеству."
561,"Автор жалуется на несвежесть орехов в торте с начинкой сникерс, что является недопустимым при производстве такой штучной продукции."
562,"Автор жалуется на качество продукции и внешний вид заведения. Он отмечает, что еда и напитки перестали быть вкусными, а интерьер заведения не располагает к употреблению пищи."
563,"Автор жалуется на то, что ему принесли бракованный круассан."
564,"В данном отзыве автор жалуется на то, что два дня подряд была сломана кофе машина в кофейне. Он также выражает свое недоумение по поводу того, почему сотрудники кофейни не проверили машину перед началом рабочего дня. В целом, отзыв можно охарактеризовать как негативный."
565,Автор жалуется на качество кофе и несоответствие информации на ценниках.
566,"Автор жалуется на обслуживание в пекарне. Он описывает, что кассирша смотрела на него с таким видом, как-будто ее заставляют тут работать. Она обсуждала его с другой сотрудницей, пока он делал заказ. Торт уронили и провели по грязной витрине. В итоге, автор получил испорченное настроение и не еду, а брехню на постной корочке."
567,Автор жалуется на отвратительное качество обслуживания и высокие цены в ресторане. Он также отмечает скопление грязной посуды на столах и забывание позиций из заказа.
568,"Автор жалуется на то, что в кофейне появилось много новых молодых сотрудников, которые не владеют элементарной этикой. Подача блюд на твердую тройку (в частности про блюдо «Поке»), кофе вкусный."
569,"Автор жалуется на качество кофе в кофейне. Он считает, что флэт уайт принесли перегретый, а под крышкой молоко всё пузырях. Напиток не ощущается от слова совсем, и цена на него завышена. В целом, автор описывает свой опыт как разочарование."
570,"Продавцы в магазине не соблюдают санитарные нормы, а именно забывают менять перчатки при обслуживании покупателей, что приводит к неуважительному отношению к покупателям. Владельцам необходимо обучить свой персонал."
571,"Автор жалуется на то, что сотрудницы кофейни и соседнего Nail Bar сидят в кофейне в пуховиках, поскольку каждые минут 15 ходят курить, при этом открывается дверь кофейной - холод и табачный дым. Провести встречу в этом заведении просто стыдно."
572,"Автор жалуется на сервис, а именно на отсутствие свечек для десерта и длительную подачу блюд. Он также отмечает, что в дамской комнате чисто и симпатично."
573,"Автор жалуется на то, что менеджмент данного заведения нужно сменить, так как сотрудники не предупреждают о времени ожидания и не предоставляют возможность присесть для ожидания. Также автор отмечает высокую стоимость оладушек при низкой себестоимости."
574,"Автор жалуется на то, что работники кофейни не выспались и устали, а также на низкое качество кофе и сиропа. Он советует выбрать кофейню лучше."
575,"Автор жалуется на низкий уровень обслуживания и качество еды в кафе ""Шоколадница"", которое расположено рядом с его домом. Он также отмечает, что уровень цен уже не низкий, а средний по сравнению с другими кафе и ресторанами, но качество и обслуживание не соответствуют заявленным ценам."
576,"Автор жалуется на то, что в Макдональдсе стало слишком много школьников, которые занимают все места и не дают сдачи."
577,"Автор жалуется на то, что ему не удалось заказать молочный коктейль, так как за стойкой никого не было, а девушка, которая подошла к нему, не смогла предоставить внятный ответ на его вопрос о наличии коктейлей в ассортименте. Кроме того, автор отмечает посредственный вкус и консистенцию напитка."
578,"Автор жалуется на то, что заказанная пицца Маргарита, Вегетарианская и Ветчина с грибами и артишоками была ужасна на вкус и не соответствовала описанию на сайте, а также на сервис с оплатой переводом и опоздание доставки на 60 минут."
579,"Автор жалуется на работу кондитерской ""Сладкая фея"". Он описывает два случая: первый - торт на свадьбу, который не соответствовал требованиям по декору; второй - неправильные цены в буклете при расчете за торт. Автор призывает руководство компании навести порядок в работе и не терять клиентов из-за плохого сервиса."
580,"Автор жалуется на то, что торт, который он взял на вынос, оказался слишком большим и ветреным, а также что на нем не было маркировок с датой."
581,"Автор жалуется на то, что стол в забегаловке грязный, выпечку с грибами дали в состоянии сухарей, а чай в пакетиках отвратный."
582,Автор жалуется на тесноту и дороговизну услуг в данном заведении.
583,"Автор жалуется на плохое обслуживание в шоколаднице. Он описывает, что ему пришлось ждать меню 10 минут, столик был грязный, а заказанный латте на банановом молоке был переделан и вместо бананового молока налили просто сироп. Кроме того, автор просит убрать грязный столик и переделать заказ."
584,"Автор жалуется на то, что в течение полугода он не может получить бонусные баллы за свои посещения кофейни. Он также описывает ситуацию, когда ему не смогли начислить подарочные 500 бонусов на день рождения."
585,Автор жалуется на хамство со стороны официанта и других сотрудников ресторана.
586,"Автор жалуется на то, что результат разочаровал - два бариста не располагают к себе, сухо, вяло и ни здрасьте, ни до свидания, с видом - и зачем вы сюда приперлись? Взяв два кофе с собой, кофе чуть теплый, вкус на 3+. Заведение не уютное, вернуться не хочется."
587,"Автор жалуется на то, что ему не понравилось обслуживание в ресторане ""Шоколадница"" в ТЦ ""Хорошо"" 24.04.23. Он описывает, как ему принесли холодную еду и яйцо без желтка, не спросили о качестве блюд и не поинтересовались его мнением о посещении заведения. Автор также указывает на отсутствие внимания со стороны персонала и отсутствие интереса к впечатлениям гостей."
588,"Автор жалуется на высокую стоимость десертов в данном заведении, а также на то, что доставка осуществляется только через час."
589,"Автор жалуется на качество пирожных, которые он купил в кафе."
590,"Автор жалуется на то, что официантка без перчаток и лопатки брака голыми руками подняла упавший кусок торта и положила его в витрину, а когда принесла, то сказала что мы его есть не будем и позвала другого официанта."
591,"Автор жалуется на то, что ему надоело ждать кофе по 15-20 минут в кофейне в бизнес-центре. Он также выражает недовольство медленными и невнимательными баристами, которые переспрашивают заказ кофе и вводят новую новинку бамбл, которая может быть горькой. Автор также отмечает иногда нормальное качество кофе, но иногда оно бывает горьким."
592,"Автор жалуется на сотрудников кафе ""Шоколадница"", работающих в аэропорту г. Екатеринбург, которые не захотели помочь маленькому больному ребенку."
593,"Автор жалуется на уставшую мебель, грязных плюшевых мишек на первом этаже, невкусную еду, постоянные косяки официантов и грязноватый санузел. Он отмечает, что цены высокие, а качество обслуживания и кухни не дотягивает."
594,"Автор жалуется на отсутствие чизкейков в наличии, неправильное соотношение сливок и эспрессо, а также на то, что кассир не понимает русский язык."
595,"Автор жалуется на невнимательных официантов, которые долго игнорируют пришедших клиентов, а также на старшего персонала, который громко ругается на весь ресторан. Он также отмечает, что теплый салат с ростбифом холодный, бейби картофель весь сморщенный, сваренный и порезанный, видимо, накануне. Паста - сваренные давно, местами засохшие макароны. Чай облепиховый вкусный, одну звезду заработал."
596,"Автор жалобы жалуется на ужасное отношение персонала, а именно на то, что официантка принесла заказ только для двух человек, игнорировала просьбы убавить кондиционер и кинула счет на стол. Автор просит провести беседу с данным работником и не рекомендовать данное заведение."
597,"Автор жалуется на качество кофе и уборку в туалете в заведении, которое она посещала два раза. В первый раз она осталась довольна вкусными вафлями и рафом кокос-апельсин, а во второй раз ей принесли зеленую жидкость без пенки и грязный стульчак."
598,"Автор жалуется на салат Цезарь, который он купил в ресторане. Он считает, что салат отвратительный, так как курица как тушеная, сухари гиганты, помидоры очень крупной нарезкой и сыр просто натерт на крупной терке."
599,"Автор жалуется на то, что ему не понравилось в данном кафе. Он заказал два кофе, но получил безвкусную горькую воду и салат с испорченными фруктами, который был замаскирован сладкой нутеллой."
600,"Автор жалуется на хамство продавщицы и ужасный вкус вафли, заказанной в кафе ""Островок""."
601,"Автор жалуется на то, что в заведении недотянули с выбором кофе, а именно закончился тот сорт, который он любит. В результате, спустя месяц автор перестал ходить в это заведение."
602,"Автор жалуется на то, что в кофейне подают Мохито без лайма и лимона, а также добавляют сахар вместо сиропа."
603,"Автор жалуется на то, что его ожидания не были удовлетворены в полной мере после заказа еды через приложение. Он отмечает высокую загруженность службы доставки и отсутствие возможности заказать салаты или пиццу раньше, чем через час. Кроме того, автор выражает свое недовольство отсутствием своевременного оповещения о возможных изменениях в работе сервиса."
604,"Автор жалуется на отвратительный сервис в данном заведении, а именно на то, что официант не соизволил подойти на протяжении 15 минут, хотя гостей вокруг нас обслуживал. После того как мы окликнули его и сказали что мы готовы сделать заказ он сказал что позовет другого официанта. На протяжении 10 минут так же никто не подошел. Не стали ждать и ушли с плохим настроением."
605,Автор благодарит официанта Владимира и стажёра Степана за идеальное обслуживание. Он не жалуется на заведение или персонал.
606,"Автор жалуется на то, что бариста игнорирует его и других клиентов, когда они приходят за кофе. Он считает это неприемлемым и несправедливым."
607,"Автор жалуется на то, что ему пришлось ждать более 15 минут, прежде чем он смог сделать заказ, а также на грязную обивку стульев и кресел в данной Шоколаднице. Он не рекомендует это заведение для посещения."
608,"Автор жалуется на то, что кофе невкусное, сезонные летние напитки - просто вода с красителем, а айс ти каркаде маракуйя приготовили слишком долго и от чая там одно название. Он также разочарован испорченным настроением после посещения кофейни."
609,"Автор жалуется на то, что ему не понравился латте персиковый парфе, который он заказывал в кафе Этлон. Он был сделан не так, как он обычно заказывает, и ему пришлось добавить сиропа, чтобы хоть немного стало похоже на тот вкус, которого он ожидал. Автор предлагает улучшить сервис, проследив за приготовлением напитков и по возможности обучив девушек работе с клиентами."
610,"Заказали Маргариту, а она как будто месяц лежала в холодильнике и её разогрели перед нами. Другими словами безвкусная резина..."
611,"Автор жалуется на то, что официанты не всегда просят бонусную карту."
612,"Автор жалуется на то, что кафе не открывалось вовремя и работник опаздывал. Это странно для заведения такого уровня."
613,"Автор жалуется на то, что все летние лимонады, кроме эспрессо тоник, ужасны. Внутри нет кондиционера и ужасно душно."
614,"Автор жалуется на то, что бариста не поздоровался и не спросил про систему лояльности, а вместо шоколада в стаканчике было одно молоко. Кроме того, зона выдачи находится в грязном состоянии, и можно потерять всех клиентов."
615,"Автор жалуется на то, что еда в ресторане разочаровала его, а именно на странное мясо, которое оказалось в брускетте, и неприветливый персонал."
616,"Автор жалуется на то, что в кафе началась психологическая лекция с микрофоном, из-за чего невозможно было разговаривать, а также на несъедобные сливки, которые принесли вместо кофе."
617,"Автор жалуется на то, что бариста не знает, какие виды молока бывают, а также на захламленность стойки и неудобное расположение столиков. Он также выражает недовольство качеством напитков, которые были либо неправильно приготовлены, либо перепутали."
618,"Автор жалуется на очень долгое обслуживание и низкий уровень сервиса. Он отмечает, что за 7 минут сидения никто не подошел, а за 10 принесли только чай."
619,"Автор жалуется на то, что администрация заведения установила новые электронные меню для заказа и оплаты, в которых есть функция выбора игры, но о том что вы должны за игру вы узнаете только в конце, когда оплачиваете весь свой заказ за еду. Это развод от администрации заведения, такого я еще не встречал!!!"
620,"Автор жалуется на то, что купил кофе с собой в стакане с крышкой, который не подходит для использования в общественных местах, так как крышка не плотно прилегает к стакану и кофе льется через край."
621,"Автор жалуется на ужасное качество пиццы жульен в ресторане. Он утверждает, что жидкая начинка и свернутые сливки не соответствуют стандартам ресторана."
622,"Автор жалуется на то, что ему отказали в двойной порции кофе за доплату."
623,"Автор жалуется на то, что ему не объяснили, для чего нужны тонинги, и по итогу вместо двух напитков по 700мл дали два напитка по 500 мл, так как спешили на поезд не могли ни ждать когда переделают и оформят возврат. В заведении столпотворение, а персонал явно не справляется с потоком. Автор не рекомендует это заведение к посещению."
624,"В данном отзыве автор жалуется на то, что ему пришлось стоять в очереди пол часа, чтобы заказать и узнать номерок на выдаче. Он также отмечает отсутствие экрана с информацией о времени ожидания и тихий голос номерка выдачи."
625,"Автор жалуется на качество кофе в кофейне. Он отмечает, что раньше кофе был хороший и приветливые бариста, но сейчас кофе варят горячим, молоко перегревают, а сам вкус кофе стал другим. Кроме того, автор указывает на отсутствие сервиса и плохое качество приготовления кофе."
626,Автор жалуется на качество кофе в данном заведении.
627,Отвратительное место. Дизайн как в 90-х - красные диваны. Выпечка и кофе ужасные. Жалко потраченных денег и времени
628,"Автор жалуется на то, что в сетевой кофейне ассортимент соответствует прейскуранту, но в 3 метрах есть другой бариста, который готовит душевнее."
629,Автор жалуется на качество рафа с соленой карамелью в данном заведении.
630,"Автор жалуется на то, что ему пришлось ждать, пока женщина за прилавком узнает про списание средств с ее карты, а также на отвратительную атмосферу на точке и низкий уровень сервиса."
631,"Автор жалуется на то, что еда в любимом заведении, но по другому адресу, готовится ужасно медленно. Блюдо, которое в других филиалах этого заведения готовят за 20 минут, едва успели приготовить за 45. Умудрились даже кофе приготовить и забыть вынести в зал. Как итог- чуть не опоздала на работу и пила ледяной кофе."
632,"Автор жалуется на то, что официантка перепутала меню."
633,"В данном отзыве автор жалуется на то, что ему не принесли милкшейк, который он заказывал, и не предоставили книгу жалоб."
634,"Автор жалуется на то, что в бургерной грязно, не понятно кто сидит и бургеры невкусные."
635,"Автор жалуется на то, что персонал кафе ""Соседи кофе"" предъявляет ему претензии по поводу неоплаченной порции сырников, хотя он оплатил свой заказ и не помнит, были ли они вообще заказаны. Он также выражает свое недоумение по этому поводу, так как все кафе он посещает с детьми и делает большие заказы на всех."
636,"Автор жалуется на то, что в данной точке продаж постоянно не работает терминал оплаты банковской картой, сотрудники хамят, а ассортимент товара скудный."
637,"Сегодня с сыном сделали ошибку и съели по куску пиццы в этом месте. Оба отравились - диарея, болели животы."
638,"Автор жалуется на то, что ему не дали ложечку для размешивания сахара в кофе, а также на хлипкие столики и расплесканный кофе. Он также недоволен обслуживанием и подачей."
639,"Автор жалуется на очень медленный персонал, который не может обслужить одного человека в течение 10 минут."
640,"Автор жалуется на то, что кофе был приготовлен очень медленно и не оправдал его ожиданий. Он также считает цену за 0.2 189 руб неоправданной и потерянной время и деньги."
641,"Автор жалуется на несвоевременное выполнение заказа, игнорирование его со стороны официантов и отсутствие свободных розеток."
642,Автор жалуется на качество фильтра и эспрессо в кафе.
