,Отзыв
394,"Испортилась шаурма и не только,взял классическую с говядиной и сыр добавкой,сыр холодный был,мясо холодное и очень жесткое,очень много капусты и белого соуса,когда заказал сырные палочки и картофель фри так бурно началось обсуждение сырных палочек,не на русском языке но я понял одно что с ними что-то не то было!плюс картофель фри был в черных пятнах. Раньше такого не было после смены работников все испортилось прошу разобраться с данной ситуацией по скольку раньше я часто ходил сейчас пришел и это был последний мой раз! И к слову говоря сырные палочки были какие-то кислые и в итоге их пришлось выбрасить!"
395,"Были вечером, искали карельскую уху. Персонал очень приветливый, место атмосферное, приятное. Особенно такие мелочи, как: вазы, качель во втором зале, бокалы на открытых стеллажах. Еда вкусная. Мы брали суп нелохикейто (несколько видов рыбы со сливками) и рыбный бургер (с треской). В супе рыбы достаточно, подаётся с кусочком хлеба. В бургере кусок рыбки приличный. НО огромный шматок листа салата, при чем с вялой ножкой, она была лишняя😂 Морс вкусный, с нотками корицы, сладкий. Некоторые вопросики: 1. отсутствует детское меню, хотя гостей с детьми тут ждут: есть стульчики детские, качалки- лоси, карандаши, раскраски (надо бы обновить и коробку с игрушками тоже). 2. наполовину отклеившиеся наклейки на столах. 3. Ценообразование на некоторые позиции (копчёный хлеб с изюмом и масло - 390 р?!) Теперь то, что испортило все впечатление: 1. Оплата по карте - это перевод на Сбер, при чем без объяснения почему так. Ну 21 век. Мы были мягко говоря обескуражены. Для сравнения в маленькой сувенирной лавке и то бы терминал. 2. В туалете мыло из дой пака - типо выдачи его себе сам как-нибудь. Ну ребятаааа, вы чего?! Вы на сайте позиционирует себя как ресторан (кстати, есть опечатки на сайте) Возможно, второй раз бы зашли, только ради кухни."
396,"Очень вкусный бургер рыбака, потрясающий банановый смузи с попкорном. Классный интерьер. Музыка 11/10. За annenmaykantereit я готова поставить все баллы этого мира"
397,"Еда средняя: съедобно, но не вау! Во вторник ранним вечером не было 1/3 позиций из меню. Сервис очень слабый: про наши напитки не то чтобы забыли, их просто не записали и мы могли бы ждать их вечность! Из окна вид как бы на озеро, но на переднем плане помойка и стройка"
398,"ОЧЕНЬ высокие цены! Ну ладно, по сути, заказал кофе гляссе, выдали по-Венски. Кончилось мороженное, скажи нет, зачем обманывать. Вообще кофе, десерты неплохие."
399,"Самое плохое заведение из всех, в которых мы были. Еду готовили час, мужу ещё дольше (принесли не одновременно), хотя сидело всего 3 столика. (Мы заказали вок и сырные палочки) Заказывали напитки, их принесли быстрее, пиво, естественно, выдохлось до еды. Приборов не принесли, официанты на гостей внимания не обращают. Не рекомендую. Еда 3/5. Молочные коктейли вкусные."
400,"Переодически покупала раньше в этой кофейне кофе, не могу сказать, что очень вкусно, но довольно сносный. Несколько дней назад 'посчастливилось' купить у них пару ванильных эклеров. Придя домой, обнаружила, что сами эклеры жёсткие как сухари, а крем пожелтел и высох...консистенция кирпича, в общем, ими можно кому-то разбить голову.. 😐Эклеры просроченные чуть ли не на полгода... Откуда вообще они их достали? Живу не близко к ""кузнецкому"", соответственно по свежим следам не могла приехать. Но, приехав по работе через несколько дней, подошла и рассказала об этой ситуации, в ответ сотрудники мне просто рассмеялись. Никаких там извинений за этот конфуз и выкинутые на ветер 250р и ничего подобного... Полагаю, что нужно чтобы их посетил Роспотребнадзор(.И у меня, к счастью, есть на него выходы) Печально, что сотрудникам и руководству наплевать на репутацию заведения. Хотелось бы также добавить, что сотрудники в целом не доброжелательны к посетителю, что я неоднократно лицезрела. Позор.. Буду обходить заведение стороной."
401,"Ужас! Хотел перед театром перекусить. Прождал заказ, а его и не собирались готовить. Зря потраченное время и испорченный вечер. Не рекомендую от слова совсем. П.С.: народу было очень мало"
402,"Всегда брал шашлык ,курей ,колбасу , все было отлично и тут здравствуйте -тухлая курица! Весь аппетит испортили"
403,"В ржаном хлебе морковка и семечки подсолнечника. Это не новый рецепт, это грязная дежа. Не проблема франчайзи, это проблема производства, которое к сожалению, не контролируется. Сегодня морковка, а завтра? На горячую линию service.ludilove.ru обратились до отзыва здесь, ответ ""мы просим наших франчайзи самостоятельно разрезать хлеб и смотреть, что изготовило наше произподство, но ОНИ НЕ СПРАВЛЯЮТСЯ с этим. Мы можем только вернуть вам деньги за товар""."
404,"Несколько раз брал бургеры в этом заведении, на газовой. Всегда звонил и просил к моему приезду приготовить и всё было отлично. Но не в последний раз. Сотрудник не брал трубку и решил что закажу по приезду, но встретился с полностью безразличным ко мне и к заказу парнем. На вопрос почему не ответили - сказал что и так много заказов. На что я возразил, можно было ответить и сказать это по телефону, чтобы я не заезжал или по крайней мере знал что мой заказ смогут приготовить через час. Сотрудник сказал что ему всё равно и хотите ждите час... Вечер испорчен, ждать естественно там негде, вагончик на улице и производственные помещения, ни присесть, ни погулять. Почему нельзя было ответить на звонок и нормально объяснить ситуацию?! Дело было 8.05.2023, звонки на фото прилагаю. А так бургеры вкусные, но с таким отношением сотрудников и экономией на помещении, буду заказывать у других теперь."
405,"Девушка которая покажет столик где сидеть, говорить 30 сидеть и уходит ужас как можно клиенту такое говорить!???"
406,"Сегодня зашла перекусить и была ужасно удивленна!!! Что у вас с меню? Оно все рваное, скотчем заклеено!!! Это разве норма? Уровень такого заведения!!! Ценник при этом немаленький, а даже меню не соответствует🤦🏻‍♀️"
407,"Сегодня утром хотела приобрести двойной эспрессо, который я обычно заказываю. Всегда он стоил 90руб, ЭТО ПРОПИСАНО В МЕНЮ, но сегодня цена оказалась другой- 120руб.! Мне не понятно- сотрудник не компетентен или решил ""навариться""?!"
408,"Купили сегодня 30.04 набор из 8 пирожных , и всё оказалось испорчены! Чизкейк с плесенью на основе, кокосовое с плесенью в бисквита, и очень сухое. Капкейки засохшие и крем пахнет старостью! Остальные просто старые и испорченные. На вид они были вполне нормальные, на витрине выглядели прилично, а когда приехали домой и стали пробовать, полное разочарование! Ходили в эту кондитерскую не один раз всё было вкусное и свежее, что случилось сейчас не понимаем. Но больше не приедем. При покупке будьте внимательны!"
409,"Цены зашкаливают, не для нашего города."
410,"Неуютное пространство. Заказал десерт Павлова, меренговый рулет и два больших латте. Десерты были готовы и стояли на витрине на кассе. Кофе несли минут 10, принесли десерт Павлова, про меренгу вообще забыли, когда спросил про меренгу официантка посмотрела на меня так удивленно, что мне стало не по себе. Как оказалось она не услышала. Кафе позиционирует себя как для семей с детьми: отсутствуют детские кресла, отсутствует пандус для колясок. Посещение от 9 июня 2023 года 18:30"
411,"Еда вкусная, атмосфера отличная (от части). Но, блин, что за персонал? Такое отношение и надменный вид... Утром заходишь попить кофе, зарядиться на весь рабочий день, туда идёшь за атмосферой и настроением, вкусной едой, а тут девочка с таким выражением лица, будто делает одолжение тебе, ни здрасти, ни досвидания... Сколько раз было моментов на которые закрывала глаза, ни тактичности, ни вежливости. Один раз подали подгоревшие панкейки (понимаю бывает), тихонечко сказала этой девушке, что бы не смущать рядом присутствующих гостей, так как людей было много, как и всегда, так она на всю кофейню громко, и грубо, как одолжение: ""Ну хорошо, поменяю вам!"", было не ловко мне, что я за свои же деньги прошу поменять подгоревшие панкейки. В другой раз спрашиваю по меню, что это и из чего, так с таким надменным видом отвечает будто ""для тупых объясняю, что не понятного?"". Да, не понятно, объясни и расскажи, что это за блюдо, если твоя задача его продать. И это только одна там такая мадам, всегда с недовольным и хмурым лицом будто уже с утра она устала работать. Одну звезду снимаю только из-за персонала."
412,"В туалете нет туалетной бумаги, чем вытираться после кофе? Малиновый раф очень сладкий. Людей всегда много, и на выдачу и покупку одна очередь. И чтобы забрать заказ нужно ждать! Ну поставьте человека на выдачу либо приоритизируйте выдачу, а то ждать приходится. Заказали круассан, и то ли не услышали, то ли что? В счет не включили."
413,"Странно удивительно, что довольна крупная сеть не имеет службы качества, ну или назовите это любым другим словом. Вообщем, никто из представителей Surf отзывы не читает...раз не комментирует. А ведь все не очень хорошо в данном заведении. Являюсь давним поклонником кофеен этой сети. нравилось все...интерьер, настроение, ассортимент и кофе, конечно... по этому адресу захожу третий, четвертый раз...не приду больше. Кофе-откровенно плох (флэт), слойка с пеканом....очень жирная....с нее прям капало масло, кекс банановый...неплох, средненько. Вообщем, удовольствия от еды не получили...совсем, ковер на веранде у вас классный. Единственное приятное впечатление) Хотя, когда приходишь выпить кофе,ждешь впечатлений от кофе...парадокс. Больше не приду и вам не советую, если вы привыкли пить ХОРОШИЙ кофе!"
414,"Атмосфера на концерте и кухня норм. Очередь в единственный санузел перед концертом не впечатлила, хоть бы 2 кабины. А если одна сломается, ваще нет чтоли"
415,Ужасно воняет точно не кофе от этой точки на весь переход
416,"Странное место, как будто в Турции. Перед носом стоит установка типа кофе на песке, видимо понта ради. Взяла капучино - горький и пережаренный, вообще невкусный. Поесть толком нечего."
417,"Бываю в тц не так часто, но всегда попадаю на смену девушки. С каких пор обслуживание гостей является для сотрудника максимально неприятным , во-первых : эта девушка постоянно в наушниках, где такое видано ? Во-вторых из-за того, что она у наушниках пропускает половину информации! Заявленное панини с картошкой ( это пирожок с картошкой , и еще в каком-то пакетике) - как будто купили ( в булочной) и положили на прилавок для продажи Очень медленное и отвратительное обслуживание этой девушки, примите какие-нибудь меры ! У вас одни негативные отзывы"
418,"Уникальная кофейня с точки зрения интерьера: на стене репродукция Кондинского, цветные стулья и фортепьяно. Свежие десерты, пекут каждый день, часто бывает так, что торты просто разбирают уже в середине дня. Сосиски в тесте, сметанник - нечто отдельное. Советую посетить хотя бы просто ради интереса"
419,Не плохое заведение. Минус - не всегда свежая кондитерка
420,"Посредственно. Долгое ожидания блюд в выходной. При первом посещении , официант не предупреждает, что до определенного часа подаются только завтраки и читать только один разворот для заказа. После выбора и вопроса; «почему же было не предупредить в начале?», некорректный ответ персонала : «две страницы только читать, там же написано сверху до 13:00 завтраки». Ну как бы мы клиенты на ментальном уровне не улавливаем связь, есть заведения, где завтраки до 13:00, а остальные блюда весь день подаются. А в Пинк Милк меню основное с 13:00 . Да и не две страницы, а один разворот только действует для заказа."
421,Заезжала за круассанами с шоколадом. В итоге все 3 оказалось со сгущенкой. Только сгущёнки и в помине не было в прайсе. Неприятная ситуация…
422,"Зашла сегодня в эту кофейню за чудесном напитком, мало того, что мне пришлось трижды поздроваться, чтобы сотрудники меня услышали и увидели (третий раз соответственно повышенным тоном, потому что первые два моих «здравствуйте» обычным тоном были проигнорированы), так я еще и стала свидетелем интересной ситуации: Передо мной стояла девушка и мило общалась с парнем за кассой, ожидая свой кофе. Второй сотрудник сделав напиток, поставил его на стол. Зашел парень(клиент), с которым тут же поздоровались (в отличии от меня), он просто взял кофе со стола сразу и начал добавлять туда сахар. Девушка уточнила у ребят (сотрудников) про свой кофе, на что ей ответили, что поставили его на стол. Девушка в ступоре, потому что кофе там не было, парням-работникам кофейни до лампочки, они даже не посмотрели, кто взял кофе. Я сказала, что кофе забрал парень, который только что зашел, он же стоял и уже замешивал в него сахар под свой вкус. По итогу ситуация сложилась следующим образом, парень заказал кофе раньше, но сделали сначала девушке, сотрудники вообще про него забыли и даже не начали его делать, он зашел и забрал кофе, потому что решил, что это его (оно и логично, он же заказал раньше всех). Вместо того чтобы помочь девушке решить ситуацию, которая сложилась, они предложили ей взять кофе у парня и сделать ему новый. Она отказалась, так как не пьет кофе с сахаром и попросила сделать новый. Ей пришлось самостоятельно решать вопрос по оплате, парню переводить ей деньги, сотрудники не приняли в решении вопроса никакого участия. Отвратительное обслуживание. Такое ощущение, что ребята, которые там работают обкуренные, медленные, еще и парень за кассой начал хихикать, было ли адресовано это в адрес сложившейся ситуации понятия не имею, но было максимально не приятно за клиентов которые были рядом. Поставила бы 1 звезду, но оставлю 2, только за обалденую розовую матчу сакура. Надеюсь, что владелец данной точки примет меры или проведет беседу с сотрудниками, которые видимо понятия не имеют о таком термине, как «клиентоориентированность»"
423,"Вафли просто жара. Обычно репертуар кофеен уныл и однообразен до степени смешения. Кукисы-макаруны, мафины, батончики в упаковке и, если господь вас любит - сэндвичи по неадекватной цене. Здесь же - полноценное меню. Взрослый человек поест и выйдет с ощущением сытости (и тепла)."
424,"Начали за здравие , продолжили за упокой. Кофе дрянь , выпечка зачастую невкусная . Франшиза и есть франшиза , увы ..... Кстати кофе в Перекрестке рядом в разы лучше и в три раза дешевле ."
425,"Интерьер симпатичный название, по прибытии не предложили меню, что в последствии привело в заблуждение о наличии еды узнали в конце посещения по наличию ее у соседнего столика)Напитки заказали отстояв очередь со списка напитков на стене, ценник на наш взгляд был завышен, к примеру молочный коктейль по вкусу напоминает больше просто молоко около 400 рублей, кофе неплохой нехороший средний по словам друзей, ценник и обслуживание хромает."
426,"Необыкновенное и красивейшее место для отдыха и бьюти-шоппинга. Данное заведение объединяет в себе салон красоты, магазин косметики и шоколатерию. Однозначно рекомендую для посещения!"
427,"Средь бела дня в выходной день решили вымыть кондиционер над входной дверью, на коляске ни зайти, ни выйти. Неизвестно ещё что там за химия..."
428,"Потеплевшей весной ноги сюда так и тянут за очередным освежающим напитком. В самом заведение столики совсем небольшие, обычно беру на вынос. Зеленый чай с вишней и малиной мой любимый!"
429,"Когда только открылись- блюда были из качественных продуктов. Не рекомендую брать бизнес ланч, дважды ошиблись. Ощущение что готовят из просрочки. Салат типа крабовый - один рис, супы вода с томатной приправой для цвета, без вкуса. Если присутствует курица - обязательно с душком. Ощущается тухлость уже с тарелки - даже пробовать не стоит. Мой неудачный опыт дважды- значит закономерность"
430,Отличная чайная! Тхегванинь такой недорогой!!!
431,Давно не пила такой невкусноый кофе. Молоко перегрето на 100500 процентов. Сам кофе будто пережги при обжарке. Надеюсь это просто неудачный день у них или точка такая. До этого ни разу не пробовала здесь кофе.
432,"Любимое кафе и пекарня. Всегда вкусная еда, напитки и выпечка. Любим просто зайти и взять напитки для прогулки. Пицца вкусная, но я прочитаю на традиционном тексте, хорошо что ввели дни когда готовят на нем. P.S. жаль что убрали из меню картошечку по деревенски."
433,"В прошлом отзыве писал, что всё вкусно. Сейчас же мне пришлось отредактировать это дело. Заказал сегодня грибной крем-суп, я не знаю, что у них случилось, но суп просто никакущий, хотя в прошлый раз он был великолепен. Также в прошлый мой поход сюда один мальчик-официант 2 раза принёс мне вообще не тот напиток, который я заказывал (на третий раз уже угадал). Я разочарован."
434,"Ужасное место, почему? Да потому что парень бедняга разрывается один на всех клиентов, пока готовит пиццу, уже другие клиенты стоят долбят этот звонок по пять минут, в итоге все нервные, и парень на кассе, он же пиццемейкер, и посетители. Отвратительно что диваны уже облезли и кожа молодого дермантина уже облупилась до ткани и её крошка прилипает к одежде, пока ты сидишь ждёшь свой заказ. Первый и последний раз был у вас. Надеюсь возьмете на заметку данный отзыв, чтобы проработать недостатки вашего заведения."
435,"Были 27.05.2023. Хотелось покушать. Место освободилось из-за того что люди не захотели ждать 40-45 минут приготовления пиццы. Мы решили сделать ход конём и заказать что-то другое. Но сотрудник ресторана сказала что ничего кроме пиццы нет, а время ожидания пиццы 40-45 минут. И девочка судя по всему в этом не виновата, вид у неё загнанный бедняжки. Зал выглядит неопрятно. В общем в приложении словосочетание ""забрать в ресторане"" это не про точку в Царицыно."
436,"Много раз ходила мимо. Сегодня зашла в кондитерску эту. Смотрела холодильник с выпечкой. Потом подошла к продавцам у хлеба и спросила, есть ли что-то бездрожжевое. На что меня начали настойчиво спрашивать: что именно меня интересует. Мой ответ: всё. Продавца не устроил. Она сказала, что есть бездрожжевой мармелад, и чтобы я вновь конкретно сказала, что мне нужно. Больше туда не зайду."
437,"Была в этом заведении дважды. Первый раз все было неплохо, поэтому в скором времени я пришла снова (это был сентябрь 2021 года). Мест почти не было, поэтому нам с мужем предложили сесть за стойку. Мы всё оплатили, но прошло 15, 20, 30 минут…а обслуживать нас не торопились. Потом освободился столик и мы решили сесть за него (я была рада, потому что была на 9 месяце беременности), но нас попросили освободить столик новые посетители, потому что они с ребенком и им нужнее…персонал никак не попытался решить наш спор. ок) их начали обслуживать СРАЗУ ЖЕ! Протерли столик, принесли воду (нам ничего за полчаса не принесли). Мы подождали еще 15 минут и поняли, что это какое-то свинство. Попросили вернуть деньги и ушли. Кофе нам даже не начинали готовить, десерты с витрины не принесли. ЗА 45 МИНУТ!!! Больше там не появлюсь."
438,"Иногда захожу в выходные побаловать себя эклером,самый вкусный крем чиз, остальные не нравятся. Продавцы часто путают заказ, за это минус звезда."
439,"Первый раз столкнулась с таким в этой сети. Просидела 10 минут, официанты все почему то за стойкой, никто не подошел. Пары за соседними столами сидели просто с открытыми меню, видимо давно ждут. Место не советую."
440,"Работники не тактичные. Положение кассы и аппарата для оплаты картой совпадает с местом выдачи открытой еды, что делает вероятной неприятную ситуацию: хочешь оплатить — прикасаешься курткой, и тебя заставляют оплатить затронутый товар. Неужели сложно поменять место выдачи еды? Это выглядит не как забота о товаре покупателя (якобы выдача хорошего вида еды), а выглядит, как обман другого невиновного покупателя. Если бы тут был поток людей, то таких случаев было бы море. И что тогда? С каждого бы снимали деньги за чужой заказ? Мерзкое ощущение"
441,"Вчера купили сырный денер. Спустя три-четыре часа заболел живот и вырвало. Из-за чего еще может быть??? Кроме денера ничего не ели. Сегодня второй день, самочувствие ужасное, отравление. Как это понимать?"
442,"Брал два денера стандартных- не вкусно, мясная начинка не весть что!!! Какое-то смятое рукой подобие мясо, оно сухое, сам денег по вкусовым ощущениям полное го.. но!!! Соус вода. Кофе тоже не вкусный, брали капучино два больших- без вкусный. Больше в эти заведения ни ногой. И ещё, с каким кулинарным образованием там работают гастарбайтеры? Девушка и парень. Не рекомендую данное заведение!!!!"
443,"Продавщица редкосное высокомерное хамло, с таким отношением к клиентам я не советую рисковать и там что-то кушать. Из личного опыта скажу, если персонал относится к клиентам с чувством собственного превосходства, значит они знают о стряпне то, чего не знаешь ты. Блюда либо солёные, либо со специями, так, что вкус мяса не чувствуешь. Обычно так готовят, чтоб ""отбить"" привкус несвежего мяса. Доверие к этим кулинарам на 0. Не мешало бы надзорным органам проверить это заведение. Кстати, ""Шаурма и Фалафель"", тоже их детище."
444,"Парень, который мне сегодня (30.06) смородиновый фраппе на двойном эспрессо, тебя прокляли 5 отделов и 3 моих подчинных. Согласиться на это было катастрофической ошибкой. Этот божественный коктейль зарядил меня бодростью на весь день. Я пишу этот отзыв, спустя 12 часов, и чувствую, что меня ещё не отпустило. Не отпустило на столько, что придется отнять у кого-то седативные. Эта утренняя амброзия заставила биться в истерике около 20 человек от объема задач, которые сгенерировал мой разогнанный мозг и которые им пришлось делать за сегодня. Вкусно. Пить с осторожностью."
445,"Отвратительное место стало. Грязь жуткая, просто феерическая грязь!!! Под столами жуть, прям уличная земля, песок огромными слоями у стены(((( кресла устали настолько, что сидеть невозможно. Просто удивительно, что никто не принимает никаких мер!!! Антисанитария полнейшая! Всё, это место (когда то любимое) мы закрыли для себя. Спасибо, но нет!"
446,"Ооооо, ребят. Это единственное в городе заведение, где готовят ИЗУМИТЕЛЬНЫЙ борщ с говядиной 🤌 ну просто отвал башки! К борщику еще подаются две греночки с бекончиком - пальчики оближешь! Дитя моё (ко всеобщему удивлению, ибо ну дети, да, понимаем все прелести кормежки в заведениях 🙄) облюбовало субчик с фрикадельками, причем, сначала слопала фрикадельки, а потом остальное. Также полюбляю прованский завтрак в этом заведении и холодный кофеёчек. Уличная веранда завершает мои дифирамбы, так как НУ ГДЕ ЖЕ ЕЩЕ У НАС В ГОРОДЕ ТАКОЕ НАЙДЕШЬ?! Рекомендую, пять звёзд, респектос владельцам - всё правильно делают ❤️"
447,"Никогда не пишу отрицательные отзывы, но эта кофейня его заслужила! Я постоянный клиент, беру чай и кофе чуть ли не каждый день. Всегда было всё вкусно, но недавно изменился персонал, пришла новенькая бариста - грубиянка! Мало того , что она отталкивает в принципе, так и кофе с чаем делает невкусно! Передо мной девушка пожаловалась, и мне она сделала непонятно что! Я заказала свой любимый чай Скандинавский, а она мне обычный чайный пакетик кипятком залила и отдала! Я в шоке просто! Больше никогда не зайду в эту кофейную, хоть она и находится напротив моего дома и была для меня лучшей!"
448,Заходила в данное заведение купить подарочный сертификат на дегустацию ( для молодой пары). Ну и пообедала заодно. Все было очень вкусно. Зал не большой. Официанты очень вежливы
449,"Были с экскурсий на обеде. Есть ощущение, что этот ресторан специализируется на поминальных обедах. Еда очень среднего качества. Порции очень маленькие. Вкус невнятный. Курица в подливе не свежая. На десерт подали блины. В очень жаркий день группе детей в напиток подали очень слабый горячий чай! Тонкая издевка!"
450,"03.05.2023 Взяли с подругой еду с собой: я -овощи гриль, она миллион всего. Огромные ломти кабачков и баклажанов выглядели так себе, но продавец уверяла ,что это вкусно. Я повелась,а подруга была голодная. Это просто есть невозможно! Овощи -гриль скорее вареные в каком-то непонятном масле. Подруга начала пробу с печеночного торта и сразу фуууууу. Как это может нравится ,да еще и за тАкИе цены??Пожалела 300 раз. Испортили аппетит! Никому не рекомендую именно эту «варвару»"
451,"Кажется, единственные, кто хорошо выполняет свою работу в этом заведении - это пекари. Ватрушки и правда прекрасны. Была там два раза. В первое посещение было очень много людей и забитый зал, официанта приходилось вылавливать и постоянно напоминать о себе. При этом общение очень посредственное и «на отвали». Будто я к ним домой неожиданно зашла в гости. Но тогда я скинула это на большую загруженность и решила дать заведению второй шанс. Во второй раз был полупустой зал, но работа официантов это какая-то шутка) они просто ходят кучками по залу, переговариваются и абсолютно не обращают внимания на гостей. Постоянно приходится напоминать о себе. Мы зашли с подругой и хотели расположиться во дворике, официант сказал, что если освободится там столик, он нам сообщит и мы туда переедем. Ок, вопросов нет, посидим пока в зале. Но мы три раза напоминали об этой просьбе) официанты уходили со словами «сейчас посмотрю и вам сообщу» и пропадали. В итоге с горем пополам на террасу мы перешли и если и стоит бронировать столик в этом заведении, то только там. Внутри не так уютно и довольно душно. Модная открытая кухня хороша только с наличием кондиционера (в июне при +28 на улице). В чем проблема его поставить при наличии своего двора - вопрос. О счете также пришлось напоминать второй раз. Возвращаться туда не хочется. Теперь уже точно) Надеюсь, руководство обратит внимание на работу своего персонала. Ибо очень уж много отзывов по этому поводу."
