,0
1011,"Автору отзыва понравилось быстрое обслуживание, доброжелательный персонал, несколько столиков за которыми можно посидеть с подружкой, выпить как различное кофе, так и прохладные вкусные смузи или фруктовые коктейли со льдом."
1012,"Автору понравилось, что в кофейне есть большой выбор напитков, сезонное меню, вкусные хот-доги, вежливый и отзывчивый персонал, а также все вкусно, качественно и быстро. Он также отметил комфорт, уют, места для работяг с ноутбуками и милых девушек бариста."
1013,"Автору отзыва понравилось, что здесь можно вкусно и разнообразно поесть, а также посидеть с друзьями и выпить кофе. Он также отметил,что еда вкусная и полезная, не страшно дать ребенку. Однако, автор негативно оценил задержку доставки салатов на 1,5 часа, которая испортила праздник."
1014,"Автору отзыва понравилось разнообразие необычных крафтовых напитков, чизкейк, атмосфера, личные книги владельца и возможность приобрести экологичную косметику Веронички Телеоровой и этнические музыкальные инструменты."
1015,"Автору отзыва понравилось уютное и приятное место, хорошая музыка, вкусный чай, пышки и чебуреки. Он также отметил, что кафе постепенно разрастается, есть возможность пообедать, но пока только в одноразовой посуде. Персонал кафе вежливый и заботливый, принимают наличные или перевод на карту. Место красивое и стильное."
1016,"Автор отзыва открыл для себя новое место, где можно выпить вкусный фирменный Раф и перекусить вкусным сырным пирогом. Интересное место тем, что кофейня располагается на территории продуктового магазина и после легкого перекуса можно собрать корзинку продуктов домой и так же взять с собой салат на перекус."
1017,"Автору отзыва понравилось, что в кофейне-пекарне есть вкусная выпечка и десерты собственного приготовления, а также хорошее качество кофе и грамотный бариста. Он также отметил современный интерьер и радушный персонал."
1018,"Отличное место для тех, кому срочно нужно отдохнуть с дороги. Несмотря на близкое расположение к оживленной трассе, в номере было тихо. Большой бонус — кафе-столовая, работающая с раннего утра и до позднего вечера. А ещё здесь есть номера с собственной сауной. Отдельная звезда оригинальному дизайну холлов и коридоров. Нельзя не отметить также внушительную библиотеку — если одолеет бессонница, будет что почитать. Удобное расположение для транзита, красиво и"
1019,"Автору отзыва понравилось необычное меню с хумусом и блюдом из баклажана, приветливый персонал, хорошее место для завтрака и обеда, уютный двор, вкусная выпечка и внимательные официанты."
1020,"Что понравилось автору отзыва, игнорируй негативные оценки: Вкусная кухня и вкусный кофе, нормальная соль в блюдах, чистый и приятный туалет. Великолепный дворик если вам повезет с погодой и местом."
1021,"Автору отзыва понравилась домашняя атмосфера, вкусные завтраки, удобное место для работы, приветливые бариста и авторские десерты. Он также отметил, что кофе здесь очень качественный и иногда даже лучше, чем в Кофемании. Кроме того, автор отметил наличие бонусной накопительной системы по фамилии и номеру телефона."
1022,"Автору отзыва понравилось, что в кофейне есть скидочные карты, удобное расположение и вкусный кофе. Он также отметил хорошее обслуживание и дружелюбную атмосферу. Однако, он выразил недовольство грубым обращением работника Софьи, которая испортила ему настроение на целый рабочий день."
1023,"Автору отзыва понравилась пицца, приветливый персонал и уютный интерьер, а также широкий выбор напитков и возможность купить не только напиток, но и вкусно перекусить. Он также отметил высокую цену примерно на всё относительно других кофеен в районе, плохие авторские напитки и малый выбор блюд."
1024,"Автору отзыва понравилось, что в кафе уютный интерьер, авторская еда, вкусные завтраки и сырники, приемлемые цены и приветливый персонал. Он также отметил вкус кофе и десерта Моти, а также хорошую музыку и необычную обстановку."
1025,"Автору отзыва понравилось, что в кофейне есть прекрасный интерьер, волшебный дизайн, всегда приветливый персонал и вкусные напитки. Он также отметил продуманный до мелочей дизайн и приятный интерьер. Автор также оценил большие порции, вкусную еду и бюджетные цены."
1026,"Огромное, душевное спасибо всему персоналу.Все блюда на отлично!Просто объедение.Так вкусно,что словами не передать.Советую и рекомендую всем,не пожалеете.ВАХ! Пицца - настоящий восторг!!! Когда хочется вкусненького, нет размышлений, сразу заказываем Nuova."
1027,"Отличное место с вкусной пиццей и отличным обслуживанием. Особенно впечатлила пицца - очень сочная ну и вкус конечно выше всяких похвал. Размер пиццы достаточный для одного взрослого мужчины. Есть доставка, правда не во все районы, но э, надеюсь, скоро начнут доставлять вкусности и в мкр. Алексеевская роща."
1028,"Автору отзыва понравилось, что в кафе Радуга уютный интерьер, вкусные напитки и снэки, приветливый и доброжелательный бариста Мария, а также комфортная обстановка и приветливые официанты. Он также отметил высокий уровень сервиса и пожелал вернуть банановый раф."
1029,"Автор отзыва остался доволен выбором десертов, обслуживанием и вкусной шаурмой. Он также отметил, что помещение чистое и теплое, а сотрудники доброжелательные. Однако, он также указал на то,что в последний раз, когда он был здесь год назад, готовить еду ему отказались."
1030,"Автору отзыва понравилось, что в заведении отзывчивый персонал, отличные цены и хорошее качество напитков."
1031,"Автору отзыва понравилось быстрое и качественное обслуживание, приятная атмосфера, вкусная еда и напитки, разнообразие меню, вежливый и отзывчивый персонал, возможность выбора блюд из фаст-фуда или основной кухни, а также возможность заказать детское меню и сберфуд."
1032,"Автору отзыва понравилось, что в кофейне Кооператив Черный можно купить понравившийся кофе, есть возможность выбора места для парковки, а также приятная атмосфера и доброжелательный персонал."
1033,"Автору отзыва понравилось уютное кафе, удобное расположение столов, комфортные диванчики, приятный интерьер, симпатичные постеры на стенах, большой выбор кондитерских изделий, доброжелательное и приветливое обслуживание, вкусные карельские блюда и комплексные обеды, музыка и интерьер не навязчивые, панорамный вид на город, приветливые официанты, которые весьма аккуратно и внимательно выполняют работу."
1034,"Спасибо Трюфелю за вкусный кофе и десерты! Нам очень понравилось ❤ Рахим молодец.Все четко,быстро,грамотно.Спасибо. Приятное место. Есть открытая веранда. И внутри и снаружи хорошо посидеть, насладиться любимым напитком."
1035,"Очень уютная атмосфера и приятный персонал. Самый лучший кофе, который я когда-либо пробовала. Готовят блюда и напитки шикарно. Расположение и соотношение цена/качество устраивает. Музыка приятная. Есть парковка."
1036,"Автору отзыва понравилось, что в кофейне есть уютный кинозал и зал для проведения игр своей компанией, а также приятный интерьер и интересная барная карта. Он также отметил вежливый и внимательный персонал."
1037,"Отличная кофейня с вкусным кофе, приветливым персоналом и уютной атмосферой. Ассортимент десертов и сэндвичей разнообразен, а колорит лофта добавляет шарма. Рекомендую посетить это место."
1038,"Автору отзыва понравилась концепция кофейни ""знатоки кофе"", где можно попробовать разные способы приготовления кофе и купить книги о нем. Также автор отметил приятный интерьер, наличие туалета и накопительной карты. Он также положительно отозвался о роллах и пицце от компании ""Суши Фреш"", которые всегда свежие, аккуратно упакованы и быстро доставляются."
1039,"Не первый раз захожу в эту кофейню. Порадовалась вкусной печеньке, она кстати спонсор моего отзыва;) Видя вашу щедрость, люди наверняка будут вам благодарны. Это запустит цепочку щедрости, а «Щедрый человек будет благословлен» (Притчи 22:9). Спасибо вам за хорошее настроение и креативный подход к посетителям! Приятное заведение, вкусная еда, единственное: столы немного не опрятные, грязные ножки столов и пошарапанные"
1040,"Автору отзыва понравилось, что в кафе удобное расположение, быстрое обслуживание, приветливый персонал и вкусная еда. Он также отметил современный интерьер и возможность увидеть, как готовится заказ прямо из зала."
1041,"Автору отзыва понравилось красивое и атмосферное место, вкусная еда, открытая кухня, дружелюбный персонал, возможность понаблюдать за процессом приготовления блюд и хлебобулочных изделий, удобное расположение, приятное обслуживание и хорошая атмосфера, а также бонусная система."
1042,"Автору отзыва понравилась уютная кофейня с приятным персоналом, вкусным кофе и десертами, а также возможность выбора напитков для тех, кто не любит кофе. Он отмечает, что персонал доброжелательный и всегда готов помочь. Также автор отмечает наличие шаурмы, лимонадов и пива в ассортименте."
1043,"Автору отзыва понравилось, что в кофейне всегда свежее и вкусное меню, приветливый и грамотный персонал, уютное современное оформление, особенно нравятся вафли с разными начинками и облепиховый чай. Он также отметил несоответствие музыкального сопровождения тематике заведения."
1044,"Автору отзыва понравилось, что в доме появилась кофейня, есть один столик на веранде, внутри не его вайб, видно что пока не успели сделать уют. Он также отметил достойное обслуживание, прекрасную локацию рядом с набережной и безумно просторное место. Автор рекомендует Family Time как любовь с первого глотка за высокий сервис и качественную работу."
1045,"Автору отзыва понравилось, что в кафе есть хороший кофе и интересный ассортимент, а также вкусная еда и постное меню. Он также отметил дружелюбный и внимательный персонал, который помог ему ощутить себя героями книги ""Я уеду жить в""Свитер""."
1046,"Автору отзыва понравилось, что в кофейне есть выбор размеров чашки и возможность добавить сироп, персонал вежливый и предупредительный, продукция всегда свежая и очень вкусная, цены вполне приемлемые, везде чисто, приятно пахнет и хочется сюда возвращаться."
1047,"Автору отзыва понравилось, что в кофейне Harber подают вкусный завтрак, особенно вафлю с курицей. Он также отметил чистоту и аккуратность в заведении, приветливых и вежливых бариста, а также насыщенный вкус кофе и хорошо взбитую пенку. В целом, автор отзыва остался доволен посещением кофейни."
1048,"Автору понравилось, что в кофейне можно быстро перекусить шавермой, сырниками или чем-нибудь сладким. Особенно понравился Раф по рекомендации продавца. Ослувание на уровне."
1049,"Автору отзыва понравилось, что в ресторане хорошее, разнообразное меню, красивая подача, вежливые официанты и красивый вид на парк. Он также отметил вкусные блюда, потрясающую подачу, профессиональные официантов и отличный алкогольный кофе."
1050,"Автору отзыва понравилось, что в кафе ""Чайный домик"" работают молодые официанты, которые шустрые, услужливые и вежливые. Они успевают все: принести, убрать вовремя, посоветовать, рассказать о блюде. В кафе чисто, на столах чистейшие салфетки, красивая посуда. Удобные стулья, расслабляешься и отдыхаешь. Есть туалет. Рекомендую для посещения с детьми."
1051,"Автору отзыва понравилось всё - интерьер, меню, подача блюд, скорость приготовления, работа официантов и администратора просто шик ( могу утверждать как бывалый гость и работник сферы гостеприимства ). Начитавшись средних и плохих отзывов, решил посетить кафе повторно)) нет - я не ошибся! Кафе превосходное."
1052,"Автору отзыва понравилось разнообразие блюд, вкуснейший зеленый чай с жасмином, ромом, тирамису, штрудель, салат цезарь, хорошее обслуживание, вежливый персонал, уютная атмосфера, цены приемлемые, подача быстрая, хотя посадка была почти полная. Официанту Марине большое спасибо за приятное сопровождение, все рассказала и подсказала, приятная девушка)"
1053,"Автор отзыва остался доволен обслуживанием и меню кафе ""Домик"". Он отметил приветливый персонал, уютную обстановку и вкусную еду. Также автор отметил, что цены в кафе как в ресторане, но работа официантов хорошая."
1054,"Автору отзыва понравилось, что кафе уютное, есть возможность посидеть на свежем воздухе, меню разнообразное на любой вкус, приветливый персонал, кофе и кухня на высочайшем уровне, а также широкий ассортимент блюд. Он также отметил отличное обслуживание, фирменные блинчики и чаи, мангал и хорошее обслуживание."
1055,"Автору отзыва понравилось, что еда всегда свежая и вкусная, качественный и хороший товар, вежливый и добрый персонал, удобный выбор товаров, приятная и спокойная атмосфера в кафэшках."
1056,"Автору отзыва понравилось, что в кафе уютная атмосфера, большой выбор пирожных и тортов, вкусная еда и кофе, отзывчивый персонал, а также быстрое обслуживание и качество продукции."
1057,"Автору отзыва понравилось, что в кафе можно купить вкусный кофе, персонал приветливый и готовый помочь, на витрине каждый раз есть что-то новенькое и ужасно красивое, атмосфера уютная и домашняя, есть возможность зайти с собакой, угощения и миска с водой для питомца, кафе относится к категории ""dog friendly""."
1058,"Автору отзыва понравилось, что в кофейне есть возможность заказывать завтраки на весь день, а также уютная атмосфера, стиль лофт и выбор блюд. Он также отметил приветливый и дружелюбный персонал и вкусные десерты."
1059,"Автору отзыва понравилось, что кафе ""О Кофе"" на улице Чаплыгина д. 1/12 имеет большой ассортимент напитков и не только кофе, а также приветливый и доброжелательный персонал. Он также отметил вкусное блюдо ""деревенский завтрак"" и грибной супчик в дождливую погоду, уютное место с красивым интерьером, вежливый персонал и быстрое обслуживание."
1060,"Автору отзыва понравилось, что кафе уютное, со вкусом подобранный интерьер, персонал замечательный, а о кухне хочется сказать отдельное спасибо поварам работающим в этом кафе. Все блюда приготовлены по домашнему, с любовью."
1061,"Автору отзыва понравилась приятная атмосфера, не навязчивая музыка, вежливая девушка кассир, очень вкусный и свежий десерт, и кофе, 😻🤤приятные цены. Очень понравилось данное место. Спасибо хозяевам. Рекомендую к посещению!"
1062,"Автору отзыва понравилось место с пленяющей атмосферой, вкусный кофе и чудные завтраки, а также то, что заведение классно отражает идею особенного киоска в одном из множества стран и городов, в котором хочется остановиться, позавтракать, почитать, побыть в моменте наедине с собой и чем-то чарующим."
1063,"Что понравилось автору отзыва: классное место с берлинским вайбом; выбор вина - щедрый, коктейлей - скромный; оливки - ради них точно стоит туда заглянуть; всегда (!) классная музыка; заказали фильтр кофе: в меню цена указана 250р, когда расплачивались откуда то добавились еще 70, про которые официант нам ничего не сказала, второго спешл латте не было, взяли кунжутный, официант сказала можно заменить Цикорий на эспрессо"
1064,"Автору отзыва понравилось уютное заведение в тихом дворе исторического «городка в городе», вкусные синнабоны и ароматный кофе, светлый интерьер, вежливый персонал, имеются настольные игры и книги на любой вкус. Он также отметил, что напитки соответствуют уровню того же Петербурга, качественные сиропы и эксклюзивные кофейные напитки."
1065,"Автору отзыва понравилось, что в кофейне есть возможность попробовать классные панини и уютно поболтать с баристой и даже не одной. Также автор отмечает,что кофейня имеет удобное расположение, прогуливаясь по аллее, обязательно возьмите с собой вкусный, ароматный кофе с ярко выраженным вкусом, за приятную цену."
1066,"Автору отзыва понравилось, что в кофейне красивый интерьер, приятный персонал, очень вкусный кофе и сендвичи, а также наличие магазинчика итальянских продуктов."
1067,"Автору отзыва понравилось, что здесь можно выпить вкусный кофе с вкусными десертами, а так же теперь можно позавтракать или пообедать, спасибо за новое меню. Замечательный персонал и очень качественные и вкусные сыры?"
1068,"Автору отзыва понравилось, что в кофейне всегда свежая и вкусная выпечка, вежливое обслуживание и внимательный персонал. Он также отметил качество кофе и десертов, а также удобное расположение кофейни в торговом центре."
1069,"Автору отзыва понравилась уютная кофейня возле Невского проспекта, приятные, позитивные и любезные сотрудники, вкусный кофе, отличные сырники со сметаной и много разных вкусняшек. Всегда играет радио Эрмитаж и есть книжная полка с интересными книгами. Атмосфера кайф, еда веганская в основном и персонал супер френдли!"
1070,"Автору отзыва понравилось, что в кафе Садко хорошее обслуживание, чистота и порядок, хороший выбор блюд и напитков, дружелюбный персонал и вкусные десерты. Однако, он отметил отвратительный вкус кофе и не рекомендовал посещать кафе ради кофе."
1071,"Автору отзыва понравилось расположение кафе, отзывчивый персонал, быстрое обслуживание и вкусная еда. Меню не большое, но вполне позволит несколько дней подряд выбирать разные блюда. В сильную жару можно спрятаться в зале в котором работает кондиционер."
1072,"Что понравилось автору отзыва: дружелюбный персонал, уютная и ламповая атмосфера, вкусный кофе. Что не понравилось: еда не вкусная."
1073,"Автору отзыва понравилось, что в ресторане есть разнообразное меню, цены приемлемые, официанты приветливые и оперативные, супы отличные, Коктейль Пина Колада очень крут. Он также отметил уютную атмосферу, возможность пригласить девушку, вкусную и сытную еду, быстрое обслуживание и наличие стандартных коктейлей. Единственный недостаток - размер, по выходным и праздникам очень часто негде сесть."
1074,"Автору отзыва понравилось, что в кафе есть своя бонусная система, большой выбор разных сендвичей, вкусный кофе и приятный персонал. Он также отметил хорошее обслуживание в дни массовых мероприятий и наличие освежающих лимонадов и молочных коктейлей."
1075,"Автору отзыва понравилось, что в кофейне есть хороший кофе, приветливый и дружелюбный бариста Илья, высококлассное обслуживание и высокие цены, а также ассортимент в сравнении со старбаксом меньше, но все могут что-то для себя подобрать. Он также отметил навязывание «доп.контента» при покупке кофе."
1076,"Автору отзыва понравилось, что в кафе уютная атмосфера, вежливые официанты, вкусный кофе и десерты, большой выбор позиций в меню, а также доступные напитки и интересные сезонные напитки. Он также отметил дружелюбный персонал и готовность помочь с выбором."
1077,"Автору отзыва понравилось, что в кофейне приветливые и доброжелательные сотрудники, которые готовы помочь с выбором и быстро отдают заказы. Он также отметил приятные цены и вкусное кофе, приготовленное Дашей, которая обладает обаятельной улыбкой и оставляет приятное впечатление о заведении."
1078,"Автору отзыва понравилось, что в кафе есть кондитерские изделия и детское меню, а также вкусный кофе и приветливый персонал. Он также отметил атмосферу кафе, красивые букеты и беспроблемное обслуживание."
1079,"Автору отзыва понравилось минималистичное и атмосферное место в центре Тулы, разнообразное меню, вежливый и приветливый персонал, возможность сделать красивые фотографии, поработать или посидеть компанией, комфорт и уют. Он также отметил, что это хорошее кафе в самом центре города с отзывчивым и добрым персоналом, вкусной едой и напитками."
1080,"Автору отзыва понравилось минималистичное оформление заведения, приветливый персонал и вкусное меню, из которого особенно хочется выделить торт красный бархат. Он также отметил великолепное обслуживание, профессиональный персонал, косметолога Раису и массажистку Ирму. Отдельной похвалы заслуживает интерьер салона: простор, красота, спокойствие, умиротворение."
1081,"Автору понравилось, что в салоне Милфа есть игровая зона, где можно оставить ребенка, а также профессиональные мастера маникюра и педикюра, которые делают маникюр «выше всяких похвал». Он также отметил, как красиво оформлен интерьер помещения, высокие потолки и различные стильные решения. Кроме того, автор положительно оценил выбор напитков по вкусу и возможность выбрать напиток по выбору во время процедуры."
1082,"Отличный кофе и приятный персонал, спасибо за внимание к своим гостям. Классная кофейня! Обожаю кофикс. Они возродили меня после утомительных экскурсий"
1083,"Автору отзыва понравилось, что здесь чисто, уютно, сервис на уровне, красивый дизайн, вкусная кухня, а главное лучшее кофе во всем городе. Он также отмечает удобное расположение, быструю доставку и богатый выбор начинок. Автор рекомендует это место всем, кто ценит вкусную пиццу."
1084,"Автор отзыва остался доволен кухней, обслуживанием, интерьером и ценами в кафе. Он также отметил, что еда была вкусной и разнообразной, а официантка Лиза - внимательной и доброжелательной. Однако автор также указал на некоторые недостатки, такие как отсутствие выбора пиццы и странный запах в помещении."
1085,"Автору отзыва понравилось, что в кофейне есть гриль-чиз, большой выбор десертов, печеньюшек, кофе, чая, уютная кофейня, где можно отлететь от кайфа при распитии кофейных напитков и поедании необычных и божественных тортиков. Также автор отзыва отметил,что персонал - милашки, самая классная заправка и адыкватный персонал."
1086,"Автору отзыва понравилось, что в кофейне вкусные напитки и десерты, чистота и уют, а также милые и отзывчивые сотрудники в платочках, которые создают ощущение домашнего уюта."
1087,"Автору отзыва понравилось: большое меню, приветливый персонал, уровень еды намного выше, чем в маке или тп заведениях. Зал большой и просторный, есть детская комната. Меню стало разнообразное и вкусное. Курсыр сочный! Ожидание заказа недолгое, атмосфера приятная."
1088,"Автор отзыва остался доволен посещением МакМастера в Иваново. Он отметил вежливый персонал, уютную атмосферу и наличие детской комнаты. Посетитель также выразил желание, чтобы заведение развивалось и привлекало больше клиентов."
1089,"Автору отзыва понравилось, что в Макмастере есть возможность проверить вкус детства, а именно курсыр, который он помнит с детства. Также автор отметил хорошее техническое оснащение заведения, удобные кресла и наличие детской игровой зоны. В целом, автор остался доволен посещением кафе."
1090,"Автору отзыва понравилось, что кафе находится недалеко от Саблинских пещер и предлагает уютную атмосферу и вкусные блюда из полуфабрикатов. Он также отметил приветливый персонал и большой выбор блюд и напитков."
1091,"Автору отзыва понравилось, что в магазине и кафе большой выбор кофе, сыров, десертов, а также проводятся дегустационные вечера. Он также отметил, здесь приятная атмосфера, дружелюбный персонал и отличное местоположение."
1092,"Автору отзыва понравилось, что хостел чистый и уютный, уборка несколько раз в день, смена белья и полотенец, чистые полы и душевая с теплым полом. Приятный отзывчивый персонал. В хостеле есть бесплатный зал для йоги со всеми атрибутами (коврики, кубики), иногда проводят занятия по йоге и постояльцам скидка хорошая. Кофе норм, но ценник на бутеры и эклеры заоблачный."
1093,"Автору отзыва понравилось, что в кафе есть большой выбор чая, печенье и пирожные, уютная атмосфера, квалифицированный и приветливый персонал, возможность позавтракать или просто выпить кофе, доступный выбор блюд и удобная локация. Он также отметил креативный подход к оформлению кафе и наличие свечек на столах."
1094,"Автору отзыва понравился вкусный миндальный капучино, который ему приготовила бариста Юлия. Он также отметил приветливость и приятные манеры работы баристы Бека. В целом, автор остался доволен обслуживанием и качеством еды и напитков."
1095,"Автору отзыва понравилось, что здесь впечатляющий интерьер, расслабляющая атмосфера, приветливые сотрудники, можно зависнуть с чашечкой отличного кофе у окошка, вкусные оригинальные блюда, завтраки весь день, сюда можно с собаками, очень приятный и отзывчивый персонал и хорошее обслуживание."
1096,"Автору отзыва понравилось, что в магазине всегда много новинок, дружелюбный персонал, скидки за час до закрытия и на вчерашнюю выпечку. Он также отметил прекрасный выбор разнообразных вкусностей, включая фруктово-ягодный чай, овощи-гриль и традиционный тортик ""Наполеон""."
1097,"Автору отзыва понравилось, что в ресторане отличная музыка, вкусная кухня, приветливый персонал, отличное место в центре города с хорошим интерьером и прекрасной музыкой. Он также отметил приятный интерьер и большое разнообразие кофе, даже десертного и алкогольного."
1098,"Автор отзыва положительно отзывается о кафе ""Конфетка"" в Ялте, отмечая его уютную атмосферу, вкусную и свежую продукцию, приветливый и внимательный персонал, а также низкие цены по сравнению с другими кафе города."
1099,"Автору отзыва понравилось место за его красивый интерьер, удобные сиденья и вежливый персонал. Он также отметил, что в кафе мало блюд, подходящих веганам, но это можно понять, так как кафе итальянской тематики. Автор также отмечает вкусный кофе и десерты, а также рекомендует попробовать лазанью с лососем и два шарика джелато."
1100,"Автор отзыва положительно отзывается о ресторане в ТЦ Галерея, отмечая его минималистичный интерьер, красивую посуду, приветливый персонал, свежайшую выпечку и отличный кофе. Он также выражает благодарность баристе Александре за хорошее и качественное обслуживание."
